[2024-09-08T17:17:07.021117] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-08T17:17:07.029634] Configuration reload request received, reloading configuration;
[2024-09-08T17:17:07.029658] Configuration reload finished;
[2024-09-08T17:17:07.098664] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-08T17:17:07.133766] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-08T17:17:07.133855] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-08T17:17:07.139188] Configuration reload request received, reloading configuration;
[2024-09-08T17:17:07.139216] Configuration reload finished;
[2024-09-08T17:17:08.087377] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-08T17:17:08.128870] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-08T17:17:08.128966] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-08T17:17:08.135772] Configuration reload request received, reloading configuration;
[2024-09-08T17:17:08.135799] Configuration reload finished;
[2024-09-08T17:17:08.150443] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-08T17:17:08.194518] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-08T17:17:08.194634] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-08T17:17:08.215864] Configuration reload request received, reloading configuration;
[2024-09-08T17:17:08.215889] Configuration reload finished;
[2024-09-08T17:17:37.524998] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-08T17:17:37.566897] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-08T17:17:37.566992] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-08T17:17:37.572409] Configuration reload request received, reloading configuration;
[2024-09-08T17:17:37.572439] Configuration reload finished;
[2024-09-08T17:17:38.629763] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-08T17:17:38.959764] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-08T17:17:38.959845] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-08T17:17:38.965217] Configuration reload request received, reloading configuration;
[2024-09-08T17:17:38.965251] Configuration reload finished;
[2024-09-08T17:17:39.970253] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-08T17:17:40.006752] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-08T17:17:40.006839] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-08T17:17:40.011921] Configuration reload request received, reloading configuration;
[2024-09-08T17:17:40.011945] Configuration reload finished;
[2024-09-08T17:17:41.057726] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-08T17:17:41.104823] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-08T17:17:41.104927] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-08T17:17:41.110681] Configuration reload request received, reloading configuration;
[2024-09-08T17:17:41.110709] Configuration reload finished;
[2024-09-08T17:17:42.912622] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-08T17:17:42.949858] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-08T17:17:42.949957] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-08T17:17:42.955906] Configuration reload request received, reloading configuration;
[2024-09-08T17:17:42.955937] Configuration reload finished;
[2024-09-08T17:17:44.013656] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-08T17:17:44.049664] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-08T17:17:44.049746] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-08T17:17:44.055108] Configuration reload request received, reloading configuration;
[2024-09-08T17:17:44.055131] Configuration reload finished;
[2024-09-08T17:17:44.479929] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-08T17:17:44.515778] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-08T17:17:44.515863] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-08T17:17:44.521564] Configuration reload request received, reloading configuration;
[2024-09-08T17:17:44.521593] Configuration reload finished;
[2024-09-08T17:17:47.582596] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-08T17:17:47.634329] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-08T17:17:47.634585] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-08T17:17:47.648127] Configuration reload request received, reloading configuration;
[2024-09-08T17:17:47.648197] Configuration reload finished;
[2024-09-08T17:17:48.224633] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-08T17:17:48.274822] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-08T17:17:48.275010] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-08T17:17:48.295094] Configuration reload request received, reloading configuration;
[2024-09-08T17:17:48.295193] Configuration reload finished;
[2024-09-08T17:19:35.486297] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-08T17:19:35.535222] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-08T17:19:35.535328] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-08T17:19:35.544766] Configuration reload request received, reloading configuration;
[2024-09-08T17:19:35.544793] Configuration reload finished;
[2024-09-09T08:20:32.322582] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-09T08:20:32.356730] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-09T08:20:32.356806] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-09T08:20:32.361383] Configuration reload request received, reloading configuration;
[2024-09-09T08:20:32.361415] Configuration reload finished;
[2024-09-09T08:24:45.131455] EOF occurred while idle; fd='24'
[2024-09-09T08:24:45.131498] Syslog connection closed; fd='0', server='AF_UNIX(/var/run/synologan.sock)', time_reopen='10'
[2024-09-09T08:24:46.322309] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-09T08:24:46.349370] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-09T08:24:46.349436] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-09T08:24:46.353913] Configuration reload request received, reloading configuration;
[2024-09-09T08:24:46.353948] Configuration reload finished;
[2024-09-09T08:24:46.500416] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-09T08:24:46.527140] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-09T08:24:46.527208] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-09T08:24:46.530665] Configuration reload request received, reloading configuration;
[2024-09-09T08:24:46.530693] Configuration reload finished;
[2024-09-09T08:24:47.133934] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-09T08:24:47.158395] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
